county_fips,state,county_name,hpsa_score,designation_type
01001,IL,IL County 1,11,Moderate Need
01002,IL,IL County 2,20,High Need
01003,IL,IL County 3,23,High Need
01004,IL,IL County 4,25,High Need
01005,IL,IL County 5,2,Low Need
01006,IL,IL County 6,19,High Need
01007,IL,IL County 7,13,Moderate Need
01008,IL,IL County 8,14,High Need
01009,IL,IL County 9,24,High Need
01010,IL,IL County 10,13,Moderate Need
01011,IL,IL County 11,6,Low Need
01012,IL,IL County 12,16,High Need
01013,IL,IL County 13,11,Moderate Need
01014,IL,IL County 14,19,High Need
01015,IL,IL County 15,3,Low Need
02016,CA,CA County 1,8,Moderate Need
02017,CA,CA County 2,5,Low Need
02018,CA,CA County 3,15,High Need
02019,CA,CA County 4,24,High Need
02020,CA,CA County 5,21,High Need
02021,CA,CA County 6,21,High Need
02022,CA,CA County 7,20,High Need
02023,CA,CA County 8,20,High Need
02024,CA,CA County 9,1,Low Need
02025,CA,CA County 10,23,High Need
02026,CA,CA County 11,7,Moderate Need
02027,CA,CA County 12,10,Moderate Need
02028,CA,CA County 13,12,Moderate Need
02029,CA,CA County 14,16,High Need
02030,CA,CA County 15,7,Moderate Need
03031,TX,TX County 1,20,High Need
03032,TX,TX County 2,17,High Need
03033,TX,TX County 3,17,High Need
03034,TX,TX County 4,13,Moderate Need
03035,TX,TX County 5,14,High Need
03036,TX,TX County 6,5,Low Need
03037,TX,TX County 7,10,Moderate Need
03038,TX,TX County 8,12,Moderate Need
03039,TX,TX County 9,24,High Need
03040,TX,TX County 10,0,Low Need
03041,TX,TX County 11,5,Low Need
03042,TX,TX County 12,8,Moderate Need
03043,TX,TX County 13,7,Moderate Need
03044,TX,TX County 14,10,Moderate Need
03045,TX,TX County 15,21,High Need
04046,NY,NY County 1,18,High Need
04047,NY,NY County 2,23,High Need
04048,NY,NY County 3,8,Moderate Need
04049,NY,NY County 4,16,High Need
04050,NY,NY County 5,11,Moderate Need
04051,NY,NY County 6,24,High Need
04052,NY,NY County 7,13,Moderate Need
04053,NY,NY County 8,14,High Need
04054,NY,NY County 9,15,High Need
04055,NY,NY County 10,21,High Need
04056,NY,NY County 11,21,High Need
04057,NY,NY County 12,19,High Need
04058,NY,NY County 13,0,Low Need
04059,NY,NY County 14,9,Moderate Need
04060,NY,NY County 15,7,Moderate Need
05061,OH,OH County 1,17,High Need
05062,OH,OH County 2,0,Low Need
05063,OH,OH County 3,1,Low Need
05064,OH,OH County 4,0,Low Need
05065,OH,OH County 5,0,Low Need
05066,OH,OH County 6,8,Moderate Need
05067,OH,OH County 7,12,Moderate Need
05068,OH,OH County 8,0,Low Need
05069,OH,OH County 9,12,Moderate Need
05070,OH,OH County 10,19,High Need
05071,OH,OH County 11,25,High Need
05072,OH,OH County 12,21,High Need
05073,OH,OH County 13,6,Low Need
05074,OH,OH County 14,1,Low Need
05075,OH,OH County 15,5,Low Need
06076,GA,GA County 1,6,Low Need
06077,GA,GA County 2,25,High Need
06078,GA,GA County 3,13,Moderate Need
06079,GA,GA County 4,25,High Need
06080,GA,GA County 5,17,High Need
06081,GA,GA County 6,14,High Need
06082,GA,GA County 7,1,Low Need
06083,GA,GA County 8,9,Moderate Need
06084,GA,GA County 9,22,High Need
06085,GA,GA County 10,11,Moderate Need
06086,GA,GA County 11,16,High Need
06087,GA,GA County 12,7,Moderate Need
06088,GA,GA County 13,10,Moderate Need
06089,GA,GA County 14,2,Low Need
06090,GA,GA County 15,5,Low Need
07091,MI,MI County 1,8,Moderate Need
07092,MI,MI County 2,5,Low Need
07093,MI,MI County 3,8,Moderate Need
07094,MI,MI County 4,6,Low Need
07095,MI,MI County 5,8,Moderate Need
07096,MI,MI County 6,17,High Need
07097,MI,MI County 7,11,Moderate Need
07098,MI,MI County 8,7,Moderate Need
07099,MI,MI County 9,7,Moderate Need
07100,MI,MI County 10,17,High Need
07101,MI,MI County 11,19,High Need
07102,MI,MI County 12,14,High Need
07103,MI,MI County 13,6,Low Need
07104,MI,MI County 14,10,Moderate Need
07105,MI,MI County 15,19,High Need
08106,PA,PA County 1,15,High Need
08107,PA,PA County 2,3,Low Need
08108,PA,PA County 3,5,Low Need
08109,PA,PA County 4,25,High Need
08110,PA,PA County 5,21,High Need
08111,PA,PA County 6,25,High Need
08112,PA,PA County 7,2,Low Need
08113,PA,PA County 8,8,Moderate Need
08114,PA,PA County 9,9,Moderate Need
08115,PA,PA County 10,13,Moderate Need
08116,PA,PA County 11,10,Moderate Need
08117,PA,PA County 12,17,High Need
08118,PA,PA County 13,21,High Need
08119,PA,PA County 14,11,Moderate Need
08120,PA,PA County 15,22,High Need
09121,NC,NC County 1,11,Moderate Need
09122,NC,NC County 2,12,Moderate Need
09123,NC,NC County 3,24,High Need
09124,NC,NC County 4,12,Moderate Need
09125,NC,NC County 5,18,High Need
09126,NC,NC County 6,25,High Need
09127,NC,NC County 7,18,High Need
09128,NC,NC County 8,22,High Need
09129,NC,NC County 9,13,Moderate Need
09130,NC,NC County 10,3,Low Need
09131,NC,NC County 11,12,Moderate Need
09132,NC,NC County 12,7,Moderate Need
09133,NC,NC County 13,22,High Need
09134,NC,NC County 14,20,High Need
09135,NC,NC County 15,22,High Need
10136,AZ,AZ County 1,18,High Need
10137,AZ,AZ County 2,11,Moderate Need
10138,AZ,AZ County 3,17,High Need
10139,AZ,AZ County 4,5,Low Need
10140,AZ,AZ County 5,17,High Need
10141,AZ,AZ County 6,18,High Need
10142,AZ,AZ County 7,21,High Need
10143,AZ,AZ County 8,4,Low Need
10144,AZ,AZ County 9,23,High Need
10145,AZ,AZ County 10,8,Moderate Need
10146,AZ,AZ County 11,2,Low Need
10147,AZ,AZ County 12,9,Moderate Need
10148,AZ,AZ County 13,18,High Need
10149,AZ,AZ County 14,2,Low Need
10150,AZ,AZ County 15,21,High Need
